Team Name,Team Number,tb1,tb2,autoYellowPointsIndividual,autoPurplePointsIndividual,autoPixelPoints,autoNavPointsIndividual,autoPoints,dcPoints,egDronePointsIndividual,egNavPointsIndividual,egPoints,totalPointsNp
Operation T.A.C.,14295,47.4,33,16.0,20.0,5.800000000000001,5.0,46.8,14.3,7.0,16.0,23.0,73.375
Bot Bot,22740,30.4,44,4.0,8.0,3.8000000000000003,3.5,19.3,25.6,9.0,8.5,17.5,43.199999999999996
WHS Robotics,542,38,33,6.0,4.0,2.8,2.5,15.3,19.7,7.0,2.0,9.0,29.225
Alpha Genesis,6436,61.2,50,10.0,18.0,5.4,4.0,37.4,36.0,8.0,18.5,26.5,72.9
Qualia Robotics,19900,36,20,6.0,6.0,3.1,2.0,17.1,32.5,2.0,8.5,10.5,35.725
Brain Stormz,10298,32.4,44,0.0,8.0,2.3,1.5,11.8,25.6,9.0,17.0,26.0,44.199999999999996
NerdHerd Insomniacs,51,48.6,40,2.0,10.0,3.3,2.5,17.8,23.0,10.0,8.5,18.5,42.05
VolTech,19510,19.6,8,0.0,2.0,3.4,4.0,9.4,9.8,2.0,4.5,6.5,18.35
RGB 359,14863,32.2,43,4.0,18.0,4.7,5.0,31.7,19.1,8.0,2.0,10.0,46.475
WEBB.exe,359,45.6,31,4.0,12.0,3.0999999999999996,3.0,22.1,39.5,3.0,9.5,12.5,44.475
LeXT -- Pineapple Something,20824,26,30,12.0,12.0,4.6,5.0,33.6,39.3,4.0,13.5,17.5,60.925
Simi Valley Robotics,6282,48.6,38,4.0,16.0,4.9,4.0,28.9,16.4,5.0,9.0,14.0,47.0
Hermit Social LClub,12675,33,26,2.0,6.0,2.1,0.5,10.6,24.0,5.0,6.0,11.0,27.6
STEAMPunks Bravo,13277,15.6,11,0.0,0.0,2.4000000000000004,2.0,4.4,6.199999999999999,1.0,4.0,5.0,10.95
Curiosity,11770,18.6,32,2.0,4.0,3.0,2.5,11.5,21.6,3.0,16.5,19.5,36.4
Javabots,5218,36,30,4.0,10.0,2.4,1.5,17.9,7.699999999999999,0.0,10.0,10.0,29.825
Rock N' Roll Robots,25,33.6,44,0.0,11.0,2.9,4.0,17.9,13.899999999999999,8.0,13.0,21.0,42.375
SaMoTech,21936,59,47,14.0,20.0,6.1,4.0,44.1,45.099999999999994,8.0,16.5,24.5,79.875
BeachBots,18253,47.8,45,14.0,18.0,4.699999999999999,5.0,41.7,58.8,8.0,14.5,22.5,78.9
Blueprints,7767,62.6,59,16.0,18.0,5.8,5.0,44.8,38.8,10.0,20.0,30.0,84.5
RoboKnights,4348,40.8,50,10.0,16.0,5.4,4.5,35.9,41.8,10.0,15.5,25.5,71.85
Beyond Robotics,21380,57.8,68,12.0,16.0,5.699999999999999,4.5,38.2,56.9,21.0,18.5,39.5,91.925
Inkineers,24433,44,55,2.0,18.0,6.4,5.0,31.4,52.300000000000004,7.0,12.5,19.5,63.975
Tekriot,16234,34,36,0.0,12.0,1.0,2.0,15.0,10.4,9.0,9.0,18.0,35.6
CyberDragons Buttercup,9887,45.2,41,12.0,18.0,5.800000000000001,5.0,40.8,43.900000000000006,11.0,16.0,27.0,78.775
Stratus,24079,38.6,42,8.0,12.0,3.4000000000000004,4.0,27.4,24.799999999999997,12.0,18.5,30.5,64.1
Omega Squad,14996,55.6,70,12.0,20.0,4.1,4.5,40.6,40.6,11.0,20.0,31.0,81.75
Junior Knights,21325,43.6,30,14.0,16.0,5.6,5.0,40.6,30.599999999999998,4.0,20.0,24.0,72.25
aztec.exe,15091,77.8,59,10.0,20.0,6.7,4.5,41.2,39.400000000000006,10.0,17.0,27.0,78.05000000000001
Bread Pandas,21980,48.6,59,12.0,12.0,5.6,4.5,34.1,63.8,13.0,14.5,27.5,77.55
SMES Robotics,13303,28,12,4.0,6.0,4.1,3.0,17.1,14.5,9.0,4.5,13.5,34.225
RobTot,22030,47,37,8.0,14.0,5.6,4.5,32.1,26.9,3.0,14.5,17.5,56.325
Patriotic Robotics,6372,36,31,0.0,10.0,5.9,1.0,16.9,21.9,3.0,10.5,13.5,35.875
Iconic,21868,16.8,35,2.0,2.0,4.3,3.5,11.8,25.1,6.0,14.5,20.5,38.574999999999996
AlphaOmega,14921,48.6,28,6.0,8.0,3.0999999999999996,3.5,20.6,21.8,0.0,9.0,9.0,35.050000000000004
Space Rocks,15303,40.6,40,8.0,14.0,3.8,4.5,30.3,28.3,1.0,16.5,17.5,54.875
The Order,24351,25.2,35,8.0,10.0,3.6,4.5,26.1,19.200000000000003,6.0,18.5,24.5,55.400000000000006
CyberDragons Westley,20799,43,31,4.0,12.0,4.4,4.5,24.9,29.299999999999997,2.0,14.0,16.0,48.224999999999994
NerdHerd 7^2,49,51.6,44,6.0,14.0,3.3,4.0,27.3,40.099999999999994,5.0,12.0,17.0,54.324999999999996
STEAMPunks Alpha,9040,12,10,0.0,0.0,1.9,0.0,1.9,6.1,0.0,4.0,4.0,7.425000000000001
Gear Gurus,7832,32.6,22,4.0,10.0,5.3,3.5,22.8,24.200000000000003,0.0,18.0,18.0,46.849999999999994
Chromium Robotics,9247,26,41,0.0,0.0,1.9,0.0,1.9,23.3,2.0,18.0,20.0,27.724999999999998
